model,topic_id,coherence_terms_used,coherence_terms_missing,coherence_terms_used_count,coherence_terms_missing_count,coherence_document_count,coherence_status,coherence_error,coherence_cv,coherence_npmi,coherence_umass,ngram_strategy
BERTopic-METADATA-MULTILINGUAL,0,leadership | educational leadership | liderazgo | style | leaders | principals | leadership style | dirección | transformacional | practices,,10,0,2182,computed,,0.336411,-0.295059,-5.438707,literal_vectorizer_tokens
BERTopic-METADATA-MULTILINGUAL,1,calidad | calidad educativa | gestión | educativa | quality management | quality education | quality philosophy | desempeño | vocational | gestión educativa,,10,0,2182,computed,,0.331413,-0.31685,-6.976317,literal_vectorizer_tokens
BERTopic-METADATA-MULTILINGUAL,2,digital | information | technology | ict | data | use | digitales | tic | management information | uso,,10,0,2182,computed,,0.397541,-0.148606,-6.194107,literal_vectorizer_tokens
BERTopic-METADATA-MULTILINGUAL,3,rurales | rural | ecuador | educación | gestión | escolar | educativa | colombia | gestión escolar | análisis,,10,0,2182,computed,,0.724057,0.07612,-1.022602,literal_vectorizer_tokens
BERTopic-METADATA-MULTILINGUAL,4,desempeño | nivel | gestión escolar | gestión | relación | desempeño docente | institución educativa | educativa | institución | instituciones educativas,,10,0,2182,computed,,0.695395,-0.076583,-1.095004,literal_vectorizer_tokens
BERTopic-METADATA-MULTILINGUAL,5,inclusive | inclusiva | inclusión | inclusion | educación inclusiva | discapacidad | inclusivas | inclusive education | special | diversity,,10,0,2182,computed,,0.401316,-0.169005,-4.230295,literal_vectorizer_tokens
BERTopic-METADATA-MULTILINGUAL,6,covid-19 | pandemic | coronavirus | pandemia | disease | coronavirus disease | crisis | disease covid-19 | coronavirus disease covid-19 | covid-19 pandemic,,10,0,2182,computed,,0.901877,-0.061634,-0.85522,literal_vectorizer_tokens
BERTopic-METADATA-MULTILINGUAL,7,gestión educativa | educativa | planificación estratégica | gestión | planificación | estratégica | complejidad | investigación | paulo freire | humanities,,10,0,2182,computed,,0.478218,-0.078365,-5.718879,literal_vectorizer_tokens
BERTopic-METADATA-MULTILINGUAL,8,women | gender | justice | racism | leadership | social justice | educational leadership | leaders | race | female,,10,0,2182,computed,,0.670875,0.035025,-1.980522,literal_vectorizer_tokens
BERTopic-METADATA-MULTILINGUAL,9,artificial | ia | inteligencia | inteligencia artificial | ai | intelligence | artificial intelligence | machine learning | machine | datos,,10,0,2182,computed,,0.529372,-0.027759,-4.585329,literal_vectorizer_tokens
BERTopic-METADATA-MULTILINGUAL,10,padres | familia | parents | padres familia | parental | parental involvement | participación padres | involvement | participación | satisfacción,,10,0,2182,computed,,0.245564,-0.22589,-10.632676,literal_vectorizer_tokens
BERTopic-METADATA-MULTILINGUAL,11,boarding | islamic | islamic boarding | boarding school | character | boarding schools | boarding school management | islamic boarding schools | islam | religious,,10,0,2182,computed,,0.807055,-0.059023,-0.784727,literal_vectorizer_tokens
BERTopic-METADATA-MULTILINGUAL,12,buenos aires | aires | argentina | buenos | córdoba | provincia | provincia buenos | provincia buenos aires | políticas | política,,10,0,2182,computed,,0.49547,-0.099814,-3.71549,literal_vectorizer_tokens
BERTopic-METADATA-MULTILINGUAL,13,job | satisfaction | job satisfaction | motivation | performance | teacher | stress | effect | school teachers | appraisal,,10,0,2182,computed,,0.53444,-0.032626,-3.985451,literal_vectorizer_tokens
