macro_topic_id,subtopic_id,parent_topic_id,hierarchy_level,macro_topic_size,subtopic_size,descriptor_automatic,human_label,validation_status
0,0.0,0,2,316,130,leadership · educational · styles · school · educational leadership,,pending_human_review
0,0.1,0,2,316,116,liderazgo · trabajo · gestión · escolar · educativa,,pending_human_review
1,1.0,1,2,158,30,entrepreneurship · total quality · total quality management · model · management,,pending_human_review
1,1.1,1,2,158,56,gestión · educativa · discipline · gestión educativa · calidad,,pending_human_review
1,1.2,1,2,158,46,gestión · escolar · educativa · gestión escolar · calidad,,pending_human_review
2,2.0,2,2,141,22,management · school · system · school management · website,,pending_human_review
2,2.1,2,2,141,96,gestión · educativa · escolar · uso · docentes,,pending_human_review
3,3.0,3,2,130,36,gestión · rural · indígena · escolar · educativa,,pending_human_review
3,3.1,3,2,130,87,gestión · escolar · desempeño · educativa · nacional,,pending_human_review
4,4.0,4,2,100,31,educativa · escolar · gestión escolar · gestión educativa · calidad,,pending_human_review
4,4.1,4,2,100,50,directores · educativa · escolar · gestión escolar · desempeño,,pending_human_review
5,5.0,5,2,83,23,disabilities · teachers · special · visual · needs,,pending_human_review
5,5.1,5,2,83,25,escolar · gestión · educación · gestión escolar · inclusiva,,pending_human_review
6,6.0,6,2,75,21,evaluación · ncds · desafíos · gestión · pandemia,,pending_human_review
6,6.1,6,2,75,43,leadership · principals · covid-19 pandemic · school principals · curriculum,,pending_human_review
8,8.0,8,2,62,35,women · female · positions · leadership · escolar,,pending_human_review
8,8.1,8,2,62,25,leadership · preparation · educational · leadership preparation · educational leadership,,pending_human_review
