model,topic_id,topic_label,automatic_label,human_label,label_status,prevalence,document_count,top_words,top_ngrams,representative_titles,coherence,diversity,stability,is_outlier
stm,1,núm · atribución · okul · için,núm · atribución · okul · için,,pending,1.1609,9,núm | atribución | okul | için | caos | öğretmenlerin | morin | bir | inca | negocios | analítica | yönetim | cusco | complejidad | págs,,"Investigation of Teachers' Views on Their Participation in School Management | LA INTELIGENCIA DE NEGOCIOS Y LA ANALÍTICA DE DATOS IMPULSANDO EL DESARROLLO ACADÉMICO | Teoría del caos y calidad de gestión institucional en un instituto de educación superior peruano | Female Directors' Perspective To School Management In Basic Education | Competencia docente en matemática, ciencia y tecnología al resolver un problema de contexto con el complejo arqueológico inca de Raqchi, Cusco – Perú",,,NA,FALSE
stm,2,articles · bibliometric · hallinger · finnish,articles · bibliometric · hallinger · finnish,,pending,3.1472,20,articles | bibliometric | hallinger | finnish | visionary | publications | leader | finland | leadership | citations | journals | bush | vietnam | authors | leaders’,,"Uncovering patterns of author productivity in educational leadership and management in Indonesia | Retrospective and Prospective Analysis on Educational Leadership: Indicators of Productivity, Dispersion, and Content | Educational Leadership in Vocational Education: A 10-Year Bibliometric Analysis | Understanding Leadership in Educational Leadership Research in Finland | Educational Leadership: A Fifteen Year Bibliometric Review",,,NA,FALSE
stm,3,tua · palopo · orang · indigenous,tua · palopo · orang · indigenous,,pending,0.2169,2,tua | palopo | orang | indigenous | kolaborasi | wisdom | anak | smpn | wawancara | smp | rumah | negeri | parenting | anak-anak | keluarga,,KOLABORASI SEKOLAH DENGAN ORANG TUA DALAM MENINGKATKAN PROSES BELAJAR PESERTA DIDIK | Islamic educational leadership | Anak Rimba School Management Strategy for the Preservation of Local Wisdom in Sarolangun Regency: A Literature Review of the Development of Environment-Based Teaching Materials | Effective School Management Strategies for Enhancing Early Childhood Development | School Management in Preventing Bullying in Primary Schools,,,NA,FALSE
stm,4,tic · formativa · tecnologías · virtuales,tic · formativa · tecnologías · virtuales,,pending,7.2775,58,tic | formativa | tecnologías | virtuales | artificial | plataformas | estudiante | inteligencia | universitaria | multidisciplinarios | aprendizaje | personalización | lenguaje | crítico | plataforma,,"Inteligencia Artificial en la Educación Avances y Desafíos Multidisciplinarios. | Recursos educativos digitales para mejorar el aprendizaje en matemáticas | LA INTELIGENCIA ARTIFICIAL EN LA GESTIÓN VIRTUAL DEL DOCENTE | Estrategias de gestión educativa para el sector salud en el siglo XXI | Transformación digital en las Instituciones de Educación Superior: Retos, estrategias y perspectivas para el siglo XXI",,,NA,FALSE
stm,5,ict · silence · administrators · distance,ict · silence · administrators · distance,,pending,2.8254,20,ict | silence | administrators | distance | opinions | edmodo | digital | evident | usage | technology | english | technologies | information | üniversitesi | gen,,The Relationship Between Teachers' Perceived Power Distance and Organizational Silence in School Management | The views of English teachers’ towards school management and school managers* | THE RESTRUCTURING OF SCHOOL MANAGEMENT IN THE EFFECT OF CHANGE AND GLOBALIZATION | The Role of Edmodo Model for Professional Development: The Uses of Blockchain in School Management | Enhancement of College English Teachers’ Information Literacy in Information Environment,,,NA,FALSE
stm,6,smts · flourishing · smt · instructional,smts · flourishing · smt · instructional,,pending,4.8438,46,smts | flourishing | smt | instructional | transformational | principal’s | style | transactional | bass | latent | accounting | principals | principals’ | job | team,,"Leadership for learning as an organization-wide practice: evidence on its multilevel structure and implications for educational leadership practice and research | Transformational educational leaders inspire school educators’ commitment | Transformational Educational Leadership Effect On Staff Members Engagement: The Mediating Impact Of Intrinsic Motivation | Educational Leadership Processes as Predictors of Positive Work Attitude at Higher Education Level | Educational leadership, leader-member exchange and teacher self-efficacy",,,NA,FALSE
stm,7,kinerja · variabel · uji · regresi,kinerja · variabel · uji · regresi,,pending,0.5226,5,kinerja | variabel | uji | regresi | disiplin | sebesar | pengaruh | pegawai | integritas | signifikan | tabel | koefisien | kerja | pengawasan | motivasi,,"Pengaruh Pengawasan, Motivasi dan Disiplin Terhadap Kinerja Guru pada Yayasan Pendidikan Islam Terpadu Kuntum Bumi Rantauprapat | Kinerja OCB pada guru PAUD ditinjau dari Educational leadership dan Integritas | Pengaruh Kompetensi, Kompensasi, Disiplin Kerja terhadap Kinerja Guru pada Lazuardi Global Islamic School | Optimizing School Management: The Role of Managerial Skills, Organizational Climate, and Work Motivation | The Effect of Direct Compensation and Work Motivation on Teacher Productivity at Private Senior High School in Jakarta",,,NA,FALSE
stm,8,initiatives · enhancing · sustainable · promoting,initiatives · enhancing · sustainable · promoting,,pending,5.5195,49,initiatives | enhancing | sustainable | promoting | ensuring | colleges | addressing | responsive | resilience | landscape | evolving | diverse | для | programmes | integration,,"Artificial intelligence in educational leadership: a comprehensive taxonomy and future directions | Enhancing educational outcomes through strategic Human Resources (HR) initiatives: Emphasizing faculty development, diversity, and leadership excellence | Perspective Chapter: The Role of Educational Leadership in Promoting Entrepreneurship Education in Higher Education – Evidence from Pakistan | PhD Thesis on AI: a New Challenge of the Digital Era | Educational Leadership in a Digital Era: Navigating Challenges and Opportunities",,,NA,FALSE
stm,9,sua · também · direitos · acesso,sua · também · direitos · acesso,,pending,3.1062,24,sua | também | direitos | acesso | anos | seus | esse | suas | além | comunidade | ainda | mesmo | pois | assim | seja,,"Dimensões do ensino fundamental público no âmbito não-estatal em Uberlândia -MG: em foco a gestão escolar e o trabalho docente. | VULNERABILIDADE SOCIAL: práticas e desafios em escolas públicas de educação básica | A eleição direta de diretor escolar: desafios na gestão democrática no município de Medicilândia – Pará | GESTÃO DEMOCRÁTICA NO ESTADO DE MATO GROSSO: conquista ameaçada pela implantação de políticas educacionais conservadoras | Nova gestão pública, educação e gestão escolar",,,NA,FALSE
stm,10,vocational · facilities · graduates · organizing,vocational · facilities · graduates · organizing,,pending,6.2151,53,vocational | facilities | graduates | organizing | entrepreneurship | factory | carrying | carry | quality | planning | entrepreneurial | assistance | namely | tqm | curriculum,,Exploration of School Management Model in Applying Quality Education | HOW SHOULD THE CLASSROOM BE MANAGED DURING THE COVID-19 PANDEMIC? | HOW SHOULD THE CLASSROOM BE MANAGED DURING THE COVID-19 PANDEMIC? | ANALYSIS OF SCHOOL MANAGEMENT IN REALIZING QUALITY CULTURE IN MADIUN CITY | Indonesian School Management Overseas (Case Study in Indonesia Kuala Lumpur School),,,NA,FALSE
stm,11,rolando · interdisciplinarias · julia · roxana,rolando · interdisciplinarias · julia · roxana,,pending,5.2024,40,rolando | interdisciplinarias | julia | roxana | scielo | abarca | sistemática | rurales | redalyc | migrantes | prisma | cación | publicaciones | exclusión | artículos,,La gestión educativa como elemento transformador e innovador: una revisión sistemática y análisis bibliométrico | De la política al rendimiento: mecanismos de impacto en la gestión escolar primaria | Brecha digital rural-urbana y su impacto en la implementación del Diseño Universal para el Aprendizaje (DUA): revisión crítica y propuesta de un modelo de inclusión digital equitativa | RECONOCIMIENTO Y RESPALDO A LAS COMUNIDADES RURALES EN LA GESTIÓN EDUCATIVA: UN IMPERATIVO PARA LAS POLÍTICAS EDUCATIVAS CONTEMPORÁNEAS | Estudiantes migrantes en escuelas chilenas,,,NA,FALSE
