document_id,publication_document_id,model,corpus,topic_id,topic_probability,hdbscan_membership_strength,bertopic_topic_distribution_max,bertopic_second_topic_id,bertopic_second_distribution,probability_margin,outlier_score,is_outlier,is_ambiguous,year,language,title,doi,source,corpus_unit,topic_original,topic_after_outlier_reduction,outlier_reassigned,original_topic,suggested_topic,reassignment_method,reassignment_confidence,accepted_reassignment,relevance_status,relevance_score,silhouette,distance_to_centroid,local_consistency,nearest_topic,nearest_centroid_similarity,second_nearest_topic,second_nearest_centroid_similarity,assignment_margin,semantic_distance_to_centroid
doi:10.46498/reduipb.v25i1.1462,doi:10.46498/reduipb.v25i1.1462,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.09608309034074088,0,0.0639036264983247,0.03217946384241617,0.689947,True,False,2021,es,Gestión escolar y liderazgo del directivo: Aporte para la calidad educativa,10.46498/reduipb.v25i1.1462,OpenAlex,metadata,-1,-1,False,-1,0,nearest_semantic_centroid,0.909382,False,included,1.026973,,,1.0,0,0.909382,4,0.890487,0.018895,
doi:10.37811/cl_rcm.v5i5.841,doi:10.37811/cl_rcm.v5i5.841,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.9401518623975755,0.940152,0.3860775605177302,13,0.0876055201413439,0.2984720403763863,0.297373,False,False,2021,es,El liderazgo directivo en la gestión escolar. Comparación de casos,10.37811/cl_rcm.v5i5.841,OpenAlex,metadata,0,0,False,0,,,,False,included,1.02232,0.574184,0.404047,1.0,0,0.92614,1,0.842623,0.083517,0.07386
doi:10.37811/cl_rcm.v6i4.2809,doi:10.37811/cl_rcm.v6i4.2809,BERTopic-METADATA-MULTILINGUAL,metadata,1,0.9145347199403383,0.914535,0.2108659793268073,7,0.11187995573235271,0.0989860235944546,0.085465,False,False,2022,es,La gestión escolar: una revisión de las investigaciones,10.37811/cl_rcm.v6i4.2809,OpenAlex,metadata,1,1,False,1,,,,False,included,1.016878,0.277588,0.798484,1.0,1,0.948856,4,0.902538,0.046318,0.051144
doi:10.15517/revedu.v45i1.40537,doi:10.15517/revedu.v45i1.40537,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.1344317926459609,12,0.1204724286581575,0.013959363987803397,0.525552,True,False,2021,es,"Análisis del modelo de gestión escolar en instituciones educativas públicas multigrado de San Ignacio, Perú",10.15517/revedu.v45i1.40537,OpenAlex,metadata,-1,-1,False,-1,4,nearest_semantic_centroid,0.906041,False,included,1.011721,,,0.4,4,0.906041,3,0.904633,0.001407,
doi:10.26490/uncp.alboradaciencia.2021.1.975,doi:10.26490/uncp.alboradaciencia.2021.1.975,BERTopic-METADATA-MULTILINGUAL,metadata,7,0.9999788921939083,0.999979,0.2069703464369428,1,0.15428791734919012,0.05268242908775267,2.1e-05,False,False,2021,es,Planificación estratégica situacional en la gestión escolar de las instituciones educativas,10.26490/uncp.alboradaciencia.2021.1.975,OpenAlex,metadata,7,7,False,7,,,,False,included,1.011118,0.404238,0.764551,1.0,7,0.900111,1,0.873351,0.026761,0.099889
doi:10.33386/593dp.2024.1-1.2266,doi:10.33386/593dp.2024.1-1.2266,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.303893352607456,7,0.0713011878239372,0.2325921647835188,0.321052,True,False,2024,es,Gestión escolar y calidad educativa,10.33386/593dp.2024.1-1.2266,OpenAlex,metadata,-1,-1,False,-1,1,nearest_semantic_centroid,0.877776,False,included,1.009221,,,0.4,1,0.877776,7,0.873133,0.004643,
doi:10.37811/cl_rcm.v6i6.4102,doi:10.37811/cl_rcm.v6i6.4102,BERTopic-METADATA-MULTILINGUAL,metadata,1,1.0,1.0,1.0,13,4.534136011176078e-308,1.0,0.0,False,False,2022,es,La calidad educativa y la gestión escolar,10.37811/cl_rcm.v6i6.4102,OpenAlex,metadata,1,1,False,1,,,,False,included,1.012009,0.49211,0.507665,1.0,1,0.917467,7,0.85102,0.066447,0.082533
doi:10.33996/revistahorizontes.v7i30.655,doi:10.33996/revistahorizontes.v7i30.655,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.10382117768505339,1,0.0920226192280024,0.011798558457050995,0.491218,True,False,2023,es,Gestión escolar de los directivos en instituciones educativas: Revisión sistemática,10.33996/revistahorizontes.v7i30.655,OpenAlex,metadata,-1,-1,False,-1,4,nearest_semantic_centroid,0.918405,False,included,1.017541,,,0.6,4,0.918405,1,0.912329,0.006077,
doi:10.52080/rvgluz.27.97.5,doi:10.52080/rvgluz.27.97.5,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.1656285373365956,1,0.08414953741823786,0.08147899991835775,0.470689,True,False,2022,es,Gestión escolar durante la pandemia: relación entre el acompañamiento pedagógico y el desempeño docente,10.52080/rvgluz.27.97.5,OpenAlex,metadata,-1,-1,False,-1,4,nearest_semantic_centroid,0.9025,False,included,1.006287,,,0.4,4,0.9025,3,0.891028,0.011472,
doi:10.37811/cl_rcm.v8i6.14659,doi:10.37811/cl_rcm.v8i6.14659,BERTopic-METADATA-MULTILINGUAL,metadata,3,1.0,1.0,1.0,12,7.102241431245758e-308,1.0,0.0,False,False,2024,es,La gestión escolar en zonas rurales del Ecuador: Avances y desafíos,10.37811/cl_rcm.v8i6.14659,OpenAlex,metadata,3,3,False,3,,,,False,included,1.012409,0.390541,0.498337,1.0,3,0.923552,4,0.834941,0.088611,0.076448
doi:10.37843/rted.v16i2.389,doi:10.37843/rted.v16i2.389,BERTopic-METADATA-MULTILINGUAL,metadata,3,0.8047904133253205,0.80479,0.1221773556861589,12,0.11154666645728488,0.010630689228874016,0.19521,False,True,2023,es,Gestión Escolar en las Instituciones del Nivel Inicial,10.37843/rted.v16i2.389,OpenAlex,metadata,3,3,False,3,,,,False,included,1.009177,-0.177167,1.190922,0.4,7,0.927797,1,0.927638,0.000158,0.080131
doi:10.37811/cl_rcm.v6i3.2300,doi:10.37811/cl_rcm.v6i3.2300,BERTopic-METADATA-MULTILINGUAL,metadata,7,1.0,1.0,1.0,12,4.833602603896524e-308,1.0,0.0,False,False,2022,es,Retos de la gestión escolar en la educación a distancia 2021,10.37811/cl_rcm.v6i3.2300,OpenAlex,metadata,7,7,False,7,,,,False,included,1.015995,0.59456,0.635614,1.0,7,0.865391,3,0.851161,0.01423,0.134609
doi:10.37811/cl_rcm.v8i2.10725,doi:10.37811/cl_rcm.v8i2.10725,BERTopic-METADATA-MULTILINGUAL,metadata,3,0.8745551568415726,0.874555,0.17547150311361093,4,0.12832698630970127,0.04714451680390966,0.125445,False,False,2024,es,Gestión Escolar para la mejora de la calidad educativa en la educación básica ecuatoriana,10.37811/cl_rcm.v8i2.10725,OpenAlex,metadata,3,3,False,3,,,,False,included,1.022417,0.202471,0.860704,0.8,4,0.922001,3,0.910346,0.011655,0.089654
doi:10.37811/cl_rcm.v8i3.11546,doi:10.37811/cl_rcm.v8i3.11546,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0,0.0,0.13345556207997578,4,0.111490236128351,0.021965325951624773,0.456308,True,False,2024,es,Incidencia de la Gestión Escolar en el Rendimiento Académico,10.37811/cl_rcm.v8i3.11546,OpenAlex,metadata,-1,-1,False,-1,1,nearest_semantic_centroid,0.936591,False,included,1.008925,,,0.5,1,0.936591,4,0.930331,0.00626,
doi:10.37811/cl_rcm.v6i6.3677,doi:10.37811/cl_rcm.v6i6.3677,BERTopic-METADATA-MULTILINGUAL,metadata,7,1.0,1.0,1.0,1,6.473556616837396e-308,1.0,0.0,False,False,2022,es,La gestión escolar basada en el pensamiento complejo,10.37811/cl_rcm.v6i6.3677,OpenAlex,metadata,7,7,False,7,,,,False,included,1.009632,0.602895,0.393888,0.9,7,0.882809,1,0.795155,0.087654,0.117191
doi:10.47606/acven/ph0224,doi:10.47606/acven/ph0224,BERTopic-METADATA-MULTILINGUAL,metadata,0,0.8429928594875825,0.842993,0.28233912179834436,13,0.081158371949486,0.20118074984885836,0.369985,False,False,2024,es,Liderazgo del directivo en la gestión escolar,10.47606/acven/ph0224,OpenAlex,metadata,0,0,False,0,,,,False,included,1.018791,0.602116,0.384672,0.9,0,0.90733,1,0.762279,0.145051,0.09267
doi:10.46498/reduipb.v26i2.1643,doi:10.46498/reduipb.v26i2.1643,BERTopic-METADATA-MULTILINGUAL,metadata,3,0.8047904133253205,0.80479,0.13085175281286562,1,0.11900017650462191,0.011851576308243711,0.19521,False,True,2022,es,Clima organizacional y el desarrollo de la gestión escolar del preescolar de la Universidad Metropolitana,10.46498/reduipb.v26i2.1643,OpenAlex,metadata,3,3,False,3,,,,False,included,1.015465,-0.23714,1.295745,0.4,7,0.897125,1,0.870119,0.027005,0.13965
