model,corpus,language,topic_id,automatic_label,human_label,topic_label,label_status,label_notes,prevalence,document_count,top_words,top_ngrams,representative_titles,coherence,diversity,stability,is_outlier
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,-1,Outliers,,Outliers,pending,,53.2997,1163,escolar | gestin | gestin escolar | se | educativa | como | liderazgo | docentes | educational | leadership,gestin escolar,,,,,True
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,0,transformacional · liderazgo transformacional · liderazgo · liderazgo transformacional gestin,,transformacional · liderazgo transformacional · liderazgo · liderazgo transformacional gestin,pending,,2.3831,52,transformacional | liderazgo transformacional | liderazgo | liderazgo transformacional gestin | transformacional gestin | directivos | distribuido | direccin | transformacional gestin educativa | direccin escolar,liderazgo transformacional | liderazgo transformacional gestin | transformacional gestin | transformacional gestin educativa | direccin escolar,¿Volverse el error de la matrix? | Desafíos y estrategias en las trayectorias escolares del secundario del equipo directivo | Become the error in the matrix?: A critical study of leadership discourses for school management in managerial times,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,1,padres · familia · parental · padres familia,,padres · familia · parental · padres familia,pending,,2.1998,48,padres | familia | parental | padres familia | parents | parental involvement | participacin padres | involvement | participacin | satisfaccin,padres familia | parental involvement | participacin padres,"Desdobramentos da relação entre gestão escolar e família dos educandos: uma metanálise de estudos publicados entre 2009 e 2019 | Effectiveness of Parent Teacher School Management Committee on Quality of Education in Public Secondary School of Tehsil Hub, District Lasbela | Parent’s Perception on Face-to-Face Learning",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,2,paulo freire · freire · complejidad · paulo,,paulo freire · freire · complejidad · paulo,pending,,2.1998,48,paulo freire | freire | complejidad | paulo | filosofa | pedaggica | cursos | distancia | epistemolgica | trabajo colegiado,paulo freire | trabajo colegiado,A contribuição da Licenciatura em Educação do Campo UFCG para a formação docente e a prática pedagógica das escolas no Cariri paraibano: concepção dos egressos | A GESTÃO PEDAGÓGICA NOS CURSOS TÉCNICOS A DISTÂNCIA: UMA ANÁLISE DA REALIDADE ESCOLAR. | Explaining the school management based on scientific metaphor or personal experience? A case study on the management approach of successful school principals,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,3,artificial · ia · inteligencia artificial · inteligencia,,artificial · ia · inteligencia artificial · inteligencia,pending,,2.1082,46,artificial | ia | inteligencia artificial | inteligencia | ai | intelligence | artificial intelligence | machine learning | inteligencia artificial ia | artificial ia,inteligencia artificial | artificial intelligence | machine learning | inteligencia artificial ia | artificial ia,Prólogo | La Inteligencia Artificial al servicio de la gestión y la implementación en la educación | Navigating the challenges and opportunities of artificial intelligence in educational leadership: A scoping review,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,4,boarding · islamic · islamic boarding · boarding school,,boarding · islamic · islamic boarding · boarding school,pending,,1.9707,43,boarding | islamic | islamic boarding | boarding school | character | boarding schools | boarding school management | islamic boarding schools | islam | religious,islamic boarding | boarding school | boarding schools | boarding school management | islamic boarding schools,Islamic Boarding School Management in Forming The Religious Character of Students | ENHANCING MORAL INTEGRITY: ISLAMIC EDUCATION'S ROLE IN FOSTERING SUPERIOR CHARACTER WITHIN ISLAMIC BOARDING SCHOOL MANAGEMENT | MANAJEMEN SEKOLAH DALAM MEWUJUDKAN SEKOLAH SEHAT DI SMP ISLAM CENDEKIA CIANJUR (SICC) BOARDING SCHOOL,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,5,job · satisfaction · job satisfaction · motivation,,job · satisfaction · job satisfaction · motivation,pending,,1.9248,42,job | satisfaction | job satisfaction | motivation | teachers | performance | stress | teacher | effect | school teachers,job satisfaction | school teachers,Leadership and motivation for improved academic performance in schools in low socio-economic contexts | The Effects of Organizational Justice on Employee Performance Using Dimension of Organizational Citizenship Behavior as Mediation | Collaborative Leadership and School Management Committees' Impact on Primary Teachers' Job Satisfaction in Sarawak Malaysia,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,6,covid19 · pandemic · coronavirus · disease,,covid19 · pandemic · coronavirus · disease,pending,,1.8332,40,covid19 | pandemic | coronavirus | disease | covid19 pandemic | disease covid19 | coronavirus disease | coronavirus disease covid19 | during | during covid19,covid19 pandemic | disease covid19 | coronavirus disease | coronavirus disease covid19 | during covid19,Adapting educational practices in emergency remote education: Continuity and change from a student perspective | PENGARUH NEW NORMAL DITENGAH PANDEMI COVID-19 TERHADAP PENGELOLAHAN SEKOLAH DAN PESERTA DIDIK | Work-Related Stress of Polish School Principals during the COVID-19 Pandemic as a Risk Factor for Burnout,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,7,rurales · rural · indgena · escuelas rurales,,rurales · rural · indgena · escuelas rurales,pending,,1.7874,39,rurales | rural | indgena | escuelas rurales | escuela rural | convivencia | comunidades | comunidad | contexto | escuela,escuelas rurales | escuela rural,"La convivencia escolar en comunidades educativas del Ecuador : Un Análisis de la Política Nacional de Convivencia Escolar del MINEDUC (2021) | As escolas de várzea na Amazônia paraense: estudo a partir de um polo no município de Óbidos-PA | Ruralidades, Escuela y Comunidades: configuración de deseos en jóvenes de la Escuela “Las Aves” de Colombia",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,8,buenos aires · aires · buenos · argentina,,buenos aires · aires · buenos · argentina,pending,,1.6499,36,buenos aires | aires | buenos | argentina | crdoba | provincia buenos | provincia buenos aires | provincia | provincial | xx,buenos aires | provincia buenos | provincia buenos aires,"Biopolítica, imperativos de regulación y gestión escolar: Un análisis de las prácticas de directores/as del nivel secundario en el partido de San Martín a partir de la irrupción del covid 19 | El trabajo de dirigir: apuntes conceptuales sobre la dirección escolar en Argentina, 2001- 2020 | La gestión educativa de la escuela secundaria: aportes desde la perspectiva de directivos de la Provincia de Buenos Aires, entre 2010 y 2020",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,9,leadership · educational leadership · followers · educational,,leadership · educational leadership · followers · educational,pending,,1.604,35,leadership | educational leadership | followers | educational | leadership theory | leader | flourishing | standards | style | maturity,educational leadership | leadership theory,"The Impact of Educational Leadership on Student Achievement: A Comparative Analysis of Urban and Rural Schools | REPRESENTATION OF THE CONCEPT OF ""EDUCATIONAL LEADERSHIP"" IN THE PUBLISHED ARTICLES OF JOURNALS IN THE FIELD OF EDUCATION | Educational leadership : a field test of Hersey and Blanchard's situational leadership theory.",,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,10,women · gender · female · sexual,,women · gender · female · sexual,pending,,1.5582,34,women | gender | female | sexual | gnero | womens | leadership positions | positions | equality | mujeres,leadership positions,Women in Educational Leadership: Realities and Challenges | Editorial: Women in educational leadership | La construcción de liderazgo de directoras escolares: las múltiples identidades desde el género,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,11,amp · leadership · style · styles,,amp · leadership · style · styles,pending,,1.5124,33,amp | leadership | style | styles | leadership style | organizational | journal | democratic leadership | educational leadership | instructional,leadership style | democratic leadership | educational leadership,Comparative Analysis of Authoritative and Democratic Leadership Styles and Their Impact on School Management Effectiveness | The influence of educational leadership on students’ academic performance in secondary schools: A case of Itilima district | Educational Leadership Management Practices: A Perspective to Educational Transformation,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,12,ict · information · technology · tic,,ict · information · technology · tic,pending,,1.4665,32,ict | information | technology | tic | integration | tecnologas | uso | information literacy | management information | ict integration,information literacy | management information | ict integration,Perceptions of school management teams on information and communication technology integration in township and rural secondary schools in KwaZulu-Natal | Analyzing the challenges basic school teachers face in integrating Information and Communication Technology into teaching and learning activities in a developing country | PEMANFAATAN TEKNOLOGI INFORMASI DALAM MENUNJANG MUTU PENDIDIKAN SEKOLAH,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,13,digital · digital transformation · transformation · era,,digital · digital transformation · transformation · era,pending,,1.3749,30,digital | digital transformation | transformation | era | digital era | transformacin digital | digitales | digital leadership | talent | school management during,digital transformation | digital era | transformacin digital | digital leadership | school management during,The Digital Edge in Education: Harnessing ICT for Optimal School Management | Perceptions of school management on cyber threats: The case of resource-constrained schools in South Africa | Opportunities and challenges of school management in the digital era,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,14,bullying · violencia · prevention · suicide,,bullying · violencia · prevention · suicide,pending,,1.2832,28,bullying | violencia | prevention | suicide | convivencia | violencia escolar | conflictos | prevalence | familiar | preventing,violencia escolar,VULNERABILIDADE SOCIAL: práticas e desafios em escolas públicas de educação básica | Perspective on the Prevention of Suicide among School Learners by School Management | School Management Strategies in Preventing School Bullying,,,,False
BERTopic-METADATA-MULTILINGUAL,metadata,multilingual,15,quality · quality management · total quality management · total quality,,quality · quality management · total quality management · total quality,pending,,1.1457,25,quality | quality management | total quality management | total quality | quality education | vocational | model school | total | model | school quality,quality management | total quality management | total quality | quality education | model school | school quality,School Management Model Based on Community Participation HARMONY Approach to Improving School Quality | Implementation of Total Quality Management in School Management: Cross Site Study at SMK Negeri 2 Banjarmasin and SMK Negeri 4 Banjarmasin | Implementasi Manajemen Mutu di SDN Prambon,,,,False
