"model","corpus","language","topic_id","automatic_label","human_label","topic_label","label_status","label_notes","prevalence","document_count","top_words","top_ngrams","representative_titles","coherence","diversity","stability","is_outlier","selection_status"
"BERTopic-METADATA-MULTILINGUAL","metadata","multilingual","-1","Outliers","","Outliers","pending","","38.5885","842","escolar | gestión | educativa | schools | gestión escolar | educación | investigación | docentes | estudio | liderazgo","gestión escolar","","","","0.786046","True","preferred_provisional"
"BERTopic-METADATA-MULTILINGUAL","metadata","multilingual","0","leadership · educational leadership · liderazgo · style","","leadership · educational leadership · liderazgo · style","pending","","14.4821","316","leadership | educational leadership | liderazgo | style | leaders | principals | leadership style | dirección | transformacional | practices","educational leadership | leadership style","","","","0.786046","False","preferred_provisional"
"BERTopic-METADATA-MULTILINGUAL","metadata","multilingual","1","calidad · calidad educativa · gestión · educativa","","calidad · calidad educativa · gestión · educativa","pending","","7.2411","158","calidad | calidad educativa | gestión | educativa | quality management | quality education | quality philosophy | desempeño | vocational | gestión educativa","calidad educativa | quality management | quality education | quality philosophy | gestión educativa","","","","0.786046","False","preferred_provisional"
"BERTopic-METADATA-MULTILINGUAL","metadata","multilingual","2","digital · information · technology · ict","","digital · information · technology · ict","pending","","6.462","141","digital | information | technology | ict | data | use | digitales | tic | management information | uso","management information","","","","0.786046","False","preferred_provisional"
"BERTopic-METADATA-MULTILINGUAL","metadata","multilingual","3","rurales · rural · ecuador · educación","","rurales · rural · ecuador · educación","pending","","5.9578","130","rurales | rural | ecuador | educación | gestión | escolar | educativa | colombia | gestión escolar | análisis","gestión escolar","","","","0.786046","False","preferred_provisional"
"BERTopic-METADATA-MULTILINGUAL","metadata","multilingual","4","desempeño · nivel · gestión escolar · gestión","","desempeño · nivel · gestión escolar · gestión","pending","","4.583","100","desempeño | nivel | gestión escolar | gestión | relación | desempeño docente | institución educativa | educativa | institución | instituciones educativas","gestión escolar | desempeño docente | institución educativa | instituciones educativas","","","","0.786046","False","preferred_provisional"
"BERTopic-METADATA-MULTILINGUAL","metadata","multilingual","5","inclusive · inclusiva · inclusión · inclusion","","inclusive · inclusiva · inclusión · inclusion","pending","","3.8038","83","inclusive | inclusiva | inclusión | inclusion | educación inclusiva | discapacidad | inclusivas | inclusive education | special | diversity","educación inclusiva | inclusive education","","","","0.786046","False","preferred_provisional"
"BERTopic-METADATA-MULTILINGUAL","metadata","multilingual","6","covid-19 · pandemic · coronavirus · pandemia","","covid-19 · pandemic · coronavirus · pandemia","pending","","3.4372","75","covid-19 | pandemic | coronavirus | pandemia | disease | coronavirus disease | crisis | disease covid-19 | coronavirus disease covid-19 | covid-19 pandemic","coronavirus disease | disease covid-19 | coronavirus disease covid-19 | covid-19 pandemic","","","","0.786046","False","preferred_provisional"
"BERTopic-METADATA-MULTILINGUAL","metadata","multilingual","7","gestión educativa · educativa · planificación estratégica · gestión","","gestión educativa · educativa · planificación estratégica · gestión","pending","","2.9331","64","gestión educativa | educativa | planificación estratégica | gestión | planificación | estratégica | complejidad | investigación | paulo freire | humanities","gestión educativa | planificación estratégica | paulo freire","","","","0.786046","False","preferred_provisional"
"BERTopic-METADATA-MULTILINGUAL","metadata","multilingual","8","women · gender · justice · racism","","women · gender · justice · racism","pending","","2.8414","62","women | gender | justice | racism | leadership | social justice | educational leadership | leaders | race | female","social justice | educational leadership","","","","0.786046","False","preferred_provisional"
"BERTopic-METADATA-MULTILINGUAL","metadata","multilingual","9","artificial · ia · inteligencia · inteligencia artificial","","artificial · ia · inteligencia · inteligencia artificial","pending","","2.1082","46","artificial | ia | inteligencia | inteligencia artificial | ai | intelligence | artificial intelligence | machine learning | machine | datos","inteligencia artificial | artificial intelligence | machine learning","","","","0.786046","False","preferred_provisional"
"BERTopic-METADATA-MULTILINGUAL","metadata","multilingual","10","padres · familia · parents · padres familia","","padres · familia · parents · padres familia","pending","","2.1082","46","padres | familia | parents | padres familia | parental | parental involvement | participación padres | involvement | participación | satisfacción","padres familia | parental involvement | participación padres","","","","0.786046","False","preferred_provisional"
"BERTopic-METADATA-MULTILINGUAL","metadata","multilingual","11","boarding · islamic · islamic boarding · boarding school","","boarding · islamic · islamic boarding · boarding school","pending","","1.9707","43","boarding | islamic | islamic boarding | boarding school | character | boarding schools | boarding school management | islamic boarding schools | islam | religious","islamic boarding | boarding school | boarding schools | boarding school management | islamic boarding schools","","","","0.786046","False","preferred_provisional"
"BERTopic-METADATA-MULTILINGUAL","metadata","multilingual","12","buenos aires · aires · argentina · buenos","","buenos aires · aires · argentina · buenos","pending","","1.7415","38","buenos aires | aires | argentina | buenos | córdoba | provincia | provincia buenos | provincia buenos aires | políticas | política","buenos aires | provincia buenos | provincia buenos aires","","","","0.786046","False","preferred_provisional"
"BERTopic-METADATA-MULTILINGUAL","metadata","multilingual","13","job · satisfaction · job satisfaction · motivation","","job · satisfaction · job satisfaction · motivation","pending","","1.7415","38","job | satisfaction | job satisfaction | motivation | performance | teacher | stress | effect | school teachers | appraisal","job satisfaction | school teachers","","","","0.786046","False","preferred_provisional"
