document_id,original_topic,macro_topic_id,subtopic_id,parent_topic_id,hierarchy_level,is_outlier,merge_proposal,human_decision
doi:10.46498/reduipb.v25i1.1462,-1,,,,0,True,,pending
doi:10.37811/cl_rcm.v5i5.841,0,0,0.0,0,2,False,,pending
doi:10.37811/cl_rcm.v6i4.2809,1,1,1.1,1,2,False,,pending
doi:10.15517/revedu.v45i1.40537,-1,,,,0,True,,pending
doi:10.26490/uncp.alboradaciencia.2021.1.975,7,7,,7,1,False,,pending
doi:10.33386/593dp.2024.1-1.2266,-1,,,,0,True,,pending
doi:10.37811/cl_rcm.v6i6.4102,1,1,,1,1,False,,pending
doi:10.33996/revistahorizontes.v7i30.655,-1,,,,0,True,,pending
doi:10.52080/rvgluz.27.97.5,-1,,,,0,True,,pending
doi:10.37811/cl_rcm.v8i6.14659,3,3,3.0,3,2,False,,pending
doi:10.37843/rted.v16i2.389,3,3,3.1,3,2,False,,pending
doi:10.37811/cl_rcm.v6i3.2300,7,7,,7,1,False,,pending
doi:10.37811/cl_rcm.v8i2.10725,3,3,3.1,3,2,False,,pending
doi:10.37811/cl_rcm.v8i3.11546,-1,,,,0,True,,pending
doi:10.37811/cl_rcm.v6i6.3677,7,7,,7,1,False,,pending
doi:10.47606/acven/ph0224,0,0,,0,1,False,,pending
doi:10.46498/reduipb.v26i2.1643,3,3,3.1,3,2,False,,pending
doi:10.30827/profesorado.v28i1.29599,0,0,0.1,0,2,False,,pending
doi:10.59993/simbiosis.v.4i8.58,1,1,1.1,1,2,False,,pending
doi:10.56200/mried.v2iespecial.6465,-1,,,,0,True,,pending
doi:10.46932/sfjdv5n5-016,9,9,,9,1,False,,pending
doi:10.47192/rcs.v3i1.81,-1,,,,0,True,,pending
doi:10.33996/revistahorizontes.v8i32.726,3,3,3.1,3,2,False,,pending
doi:10.18050/eduser.v10n2a2,-1,,,,0,True,,pending
doi:10.37811/cl_rcm.v6i6.3796,1,1,1.2,1,2,False,,pending
doi:10.47865/igob.vol6.n22.2023.253,4,4,4.0,4,2,False,,pending
doi:10.61287/warisata.v4i11.5,5,5,,5,1,False,,pending
doi:10.37811/cl_rcm.v6i6.4135,3,3,,3,1,False,,pending
doi:10.55560/arete.2023.18.9.7,-1,,,,0,True,,pending
doi:10.31876/rcs.v28i.38152,-1,,,,0,True,,pending
doi:10.35756/educaumch.202322.274,1,1,1.1,1,2,False,,pending
doi:10.61384/r.c.a..v4i2.229,0,0,0.1,0,2,False,,pending
doi:10.52080/rvgluz.29.e12.40,-1,,,,0,True,,pending
doi:10.33996/revistahorizontes.v7i31.674,5,5,5.1,5,2,False,,pending
doi:10.59427/rcli/2024/v24cs.1167-1172,-1,,,,0,True,,pending
doi:10.59427/rcli/2023/v23cs.3940-3948,0,0,0.0,0,2,False,,pending
doi:10.37811/cl_rcm.v5i6.1431,-1,,,,0,True,,pending
doi:10.26885/rcei.11.1.9,0,0,,0,1,False,,pending
doi:10.56124/jbs.v3i2.0007,-1,,,,0,True,,pending
doi:10.47865/igob.vol7.n26.2024.344,4,4,4.0,4,2,False,,pending
doi:10.46932/sfjdv3n5-050,10,10,,10,1,False,,pending
doi:10.54942/qantuyachay.v3i1.43,-1,,,,0,True,,pending
doi:10.47606/acven/ph0208,0,0,,0,1,False,,pending
doi:10.61598/s.r.c.a.v3i2.47,-1,,,,0,True,,pending
doi:10.37177/unicen/eb31-287,-1,,,,0,True,,pending
doi:10.47865/igob.vol6.n22.2023.264,4,4,4.0,4,2,False,,pending
doi:10.60112/erc.v3i1.25,-1,,,,0,True,,pending
doi:10.47865/igob.vol6.n23.2023.296,4,4,4.1,4,2,False,,pending
doi:10.46932/sfjdv6n10-027,-1,,,,0,True,,pending
doi:10.37811/cl_rcm.v8i6.14496,3,3,3.1,3,2,False,,pending
doi:10.33996/repe.v1i1.16,-1,,,,0,True,,pending
doi:10.35305/revista.vi43.206,5,5,5.1,5,2,False,,pending
