model,corpus,language,topic_id,topic_label,automatic_label,human_label,label_status,validation_status,selection_status,prevalence,document_count,small_topic_warning,top_words,top_ngrams,representative_titles,coherence,diversity,stability,is_outlier
STM-METADATA-ES,metadata,es,1,students · participation · knowledge · gestão,students · participation · knowledge · gestão,,pending,exploratory,provisional_fixed_k,2.5071,29,FALSE,students | participation | knowledge | gestão | organizational | teachers | team | results | sexual | management | teaching | strategies | intelligence | information | actions,,"Representaciones docentes sobre las trayectorias estudiantiles en el nivel secundario durante la pandemia: “desenganche”, vínculo pedagógico y modos de evaluación | PLATAFORMIZAÇÃO DA GESTÃO PÚBLICA ESCOLAR | Los desafíos de la gestión directiva en pandemia como claves para pensar la configuración desigual del sistema educativo del nivel secundario en CABA | Estrés en profesores argentinos de educación secundaria durante la pandemia por Covid-19 | La escuela técnica y la pasantía en empresas: Aspectos generales sobre su puesta en acto y sus efectos en las expectativas laborales de los alumnos | Procesos escolares en pandemia: Un análisis del trabajo docente en contextos de pobreza urbana (Rosario, Argentina) | Transformaciones en las relaciones de enseñanza y aprendizaje en el camino a la integralidad de la educación sexual: Una mirada desde la Ciudad de Buenos Aires | Gestión educativa y configuraciones de apoyo | Estudio codisciplinar de la Matemática en la escuela secundaria: análisis de la gestión de una propuesta de aula para el estudio del crecimiento de plantas | Trayectorias Escolares : Un Análisis Desde La Gestión Curricular y el rol del equipo directivo de la EPET N°9 en Pospandemia",,,NA,FALSE
STM-METADATA-ES,metadata,es,2,debe · lograr · comunidad · permita,debe · lograr · comunidad · permita,,pending,exploratory,provisional_fixed_k,9.8718,117,FALSE,debe | lograr | comunidad | permita | entorno | métodos | dentro | pei | mejoramiento | proceso | dar | investigativo | retos | gerencia | gestor,,"La gestión educativa y su influencia en los nuevos desafíos del desarrollo curricular en la Unidad Educativa Bartolomé Garelli | Investigación en la gestión de la educación: sus aportes en la solución de problemas dentro del centro escolar | La Creatividad de la Gestión Educativa ante los Nuevos Desafíos de los Estándares de Calidad en la Unidad Educativa Fiscomisional “Nuevo Ecuador” | La Resilencia como Capacidad Humana en el Fortalecimiento de la Gestión Educativa | Los retos de la gerencia educativa de la escuela Jaime Nebot Velasco durante la pandemia | La formación de habilidades investigativas en estudiantes de la Universidad de Especialidades Espíritu Santo (UEES) de la Maestría en Gestión Educativa (MGE) | gestión educativa que impulsa a los neobachilleres para enfrentar los retos de la sociedad | Fortalecimiento del personal policial del subsistema investigativo del Ecuador a través de la educación continua. | La planificación estratégica, un eficaz instrumento que puede contribuir al mejoramiento de la gestión escolar en una institución educativa | La gestión administrativa en un centro educativo indígena: Caso de Ujarrás",,,NA,FALSE
STM-METADATA-ES,metadata,es,3,leadership · policies · córdoba · mendoza,leadership · policies · córdoba · mendoza,,pending,exploratory,provisional_fixed_k,2.5043,32,FALSE,leadership | policies | córdoba | mendoza | aires | buenos | argentina | practices | educational | subjects | directors | empresarial | well | discourses | national,,"Políticas basadas en ficción: las buenas prácticas en la dirección de escuelas secundarias | Computables: sujetos y prácticas emergentes en tiempos de pandemia en Mendoza | La construcción de identidades político-profesionales en la Dirección General de Cultura y Educación de la Provincia de Buenos Aires: Perfiles, trayectorias y discursos de la gestión educativa de la Alianza Cambiemos | Filantropía empresarial, Estado y formación de directivos de escuelas secundarias en Argentina: Estudio de caso sobre la Fundación Córdoba Mejora | Régimen académico y obligatoriedad de la educación secundaria en Córdoba y Santa Cruz (Argentina). Sistemas de acción concretos en escuelas emplazadas en barrios populares. | La dirección escolar en la normativa vigente de la Provincia de Córdoba | Pedagogía y discurso empresarial: Análisis socio-político de la formación de directoras y directores de escuelas | Tendencias nacionales y subnacionales en la reforma del gobierno escolar: Argentina y Brasil 1990-2010 | Investigar sobre dirección escolar: una aproximación al estado del arte | Educational Leadership Behavior of School Principals Within the Framework of Ecological Systems Theory",,,NA,FALSE
STM-METADATA-ES,metadata,es,4,desempeño · experimental · institución · sostenible,desempeño · experimental · institución · sostenible,,pending,exploratory,provisional_fixed_k,9.972,118,FALSE,desempeño | experimental | institución | sostenible | ods | cuantitativo | evidenciaron | docente | validado | correlacional | dimensión | conformada | estuvo | correlación | expertos,,"Gestión educativa y evaluación del desempeño docente en la Institución Educativa San Francisco de Orcotuna - Concepción, 2024 | Gestión educativa y desempeño de los docentes en una institución educativa privada, Los Olivos 2025 | Autoestima y desempeño docente en una institución educativa pública, El Agustino 2025 | Gestión educativa y el desempeño docente en una institución educativa pública | Gestión educativa y desempeño docente en centros de educación básica alternativa de Lima Metropolitana - 2024 | Gestión educativa y desarrollo sostenible en la institución educativa 18061 de Molinopampa, Amazonas, 2023 | Acompañamiento pedagogico para fortalecer el desempeño docente en una institución educativa Tugaduaja, 2023 | Gestión educativa y desempeño docente en una institución educativa de Trujillo 2023 | Liderazgo docente y la toma de decisión en la gestión escolar de una institución educativa Huacrachuco 2025 | Gestión educativa y comunicación asertiva vista por docentes de escuelas privadas, Ate 2024",,,NA,FALSE
STM-METADATA-ES,metadata,es,5,inclusivas · inclusión · inclusiva · discapacidad,inclusivas · inclusión · inclusiva · discapacidad,,pending,exploratory,provisional_fixed_k,4.7628,48,FALSE,inclusivas | inclusión | inclusiva | discapacidad | diversidad | atención | especiales | alumnado | igualdad | barreras | internacional | atender | equidad | inclusivos | inclusivo,,"Experiencias vividas en la gestión educativa de las políticas de inclusión digital | Educación inclusiva: adaptaciones curriculares para estudiantes con necesidades educativas especiales asociadas a la discapacidad física, visual, intelectual y déficit de atención, un cambio estructural en la práctica educativa | Los ocho marcos normativos de la legislación educativa española (1980-2013): análisis de la dirección escolar | La autonomía escolar en Europa: aportaciones para la innovación educativa | Algunas aportaciones del INIDE al análisis y planeación del futuro de la educación básica | Proposal for the implementation of inclusive education at Gimnasio Campestre Marcello Iafrancesco in Cajica | Diseño y aplicación de estrategias innovadoras de gestión escolar orientadas a la instalación de modelos flexibles del uso del tiempo, el espacio y los recursos | Patrones de significado sobre la educación inclusiva desde la dirección escolar chilena. | La dirección escolar en España y su compromiso con la inclusión. Una asignatura pendiente de evaluación | Análisis de la colaboración entre Programas de Protección Especializados en Reinserción Educativa (PDE) y escuelas de Chile. Una mirada desde el reenganche y la exclusión educativa",,,NA,FALSE
STM-METADATA-ES,metadata,es,6,amp · gerenciales · estándares · indicadores,amp · gerenciales · estándares · indicadores,,pending,exploratory,provisional_fixed_k,4.9644,52,FALSE,amp | gerenciales | estándares | indicadores | pruebas | percepción | eficiencia | superior | escala | auditoría | comparativo | cuestionario | consejo | situacional | descriptiva,,Capítulo 11: Eficiencia Técnica de las Instituciones Educativas Públicas de Ciénaga - Magdalena – Colombia: un Enfoque Analítico con Análisis Envolvente de Datos | LA GESTIÓN DIRECTIVA EN LAS INSTITUCIONES EDUCATIVAS DE CARÁCTER OFICIAL FRENTE A CASOS DE ÉXITO ANTE PRUEBAS EXTERNAS ESTANDARIZADAS A NIVEL NA- CIONAL | Ruta de gestión escolar para el aseguramiento del aprendizaje en estudiantes extraedad en Colombia | Análisis comparativo entre los estándares de calidad del Ministerio de Educación y del Consejo de Aseguramiento de la Calidad de la Educación Superior | Gestión educativa desde la perspectiva epistemológica de la complejidad en la gerencia del siglo XXI. | Diseño y validación de un cuestionario de gestión educativa en una escuela nacional superior de arte en Lima Metropolitana | Gestión educativa para la sostenibilidad académica en Colombia | Impacto de la emigración de docentes venezolanos de educación inicial en la gestión escolar. Caso: instituciones privadas del municipio Baruta | Los estilos gerenciales determinantes del éxito en la gestión educativa | Gestión educativa desde la perspectiva epistemológica de la complejidad en la gerencia del siglo XXI,,,NA,FALSE
STM-METADATA-ES,metadata,es,7,covid · burnout · infantil · gestion,covid · burnout · infantil · gestion,,pending,exploratory,provisional_fixed_k,4.8863,59,FALSE,covid | burnout | infantil | gestion | investigacion | pandemia | conceptualizaciones | rural | ética | crisis | escuelas | discursos | síndrome | conducción | educacion,,"Biopolítica, imperativos de regulación y gestión escolar. Un análisis de las prácticas de directores/as de escuelas secundarias en el partido de San Martín a partir de la irrupción del COVID 19 | Política, género y formación: las críticas al normalismo en su período de expansión (1884-1920) | Dimensões do ensino fundamental público no âmbito não-estatal em Uberlândia -MG: em foco a gestão escolar e o trabalho docente. | LOS ESPACIOS OLVIDADOS DE PARTICIPACIÓN Y AUTONOMÍA ESCOLAR FRENTE A LOS PROCESOS DE RENDICIÓN DE CUENTAS Y BUROCRACIA EN MÉXICO | La dirección escolar y la ética organizacional en los centros de educación infantil y primaria de Catalunya. Análisis de facilitadores y barreras | L’ètica organitzacional a l’escola des de la direcció escolar | «Una aspiración que asusta» | Escuelas rurales santafesinas en tiempo de pandemia: innovación en las prácticas institucionales | La dirección escolar: sobre directores y gestión educativa, sus conceptualizaciones y regulaciones | Gestión democrática escolar: concepciones de participación en dos escuelas del municipio de Barracão",,,NA,FALSE
STM-METADATA-ES,metadata,es,8,innovadoras · innovación · fortalecimiento · eje,innovadoras · innovación · fortalecimiento · eje,,pending,exploratory,provisional_fixed_k,7.9524,113,FALSE,innovadoras | innovación | fortalecimiento | eje | transformación | culturales | crítica | distribuido | gobernanza | modelos | evidencian | enfoques | xxi | ethnography | cultura,,"Dimensiones comparativas de la gestión administrativa y la gestión educativa | Fortalecimiento de la relación familia-escuela en el contexto rural: un proyecto de innovación pedagógica y didáctica en el CER Morrón, Briceño, Antioquia, Colombia en el 2024 | Fortalecimiento de la relación familia-escuela en el contexto rural : un proyecto de innovación pedagógica y didáctica en el CER Morrón, Briceño, Antioquia, Colombia en el año 2024 | Liderazgo pedagógico y su impacto en la innovación educativa en Colombia | Influencia del liderazgo ético en la toma de decisiones para la gestión educativa | La Comunicación Organizacional y la Gestión Directiva | Gestión directiva y liderazgo educativo: Claves para la transformación institucional | Comunicación, gestión escolar y desarrollo centro educativo la Altagracia, Regional de educación 10, Santo domingo II, ubicado el sector Puerto Rico, de Los Minas, del Distrito educativo 10-03, Republica Dominicana, Año 2025 | Innovación y transformación: Estrategias de liderazgo emprendedor para potenciar la educación del siglo XXI | Gestión educativa transformadora: modelos administrativos para instituciones innovadoras",,,NA,FALSE
STM-METADATA-ES,metadata,es,9,artificial · inteligencia · tic · digital,artificial · inteligencia · tic · digital,,pending,exploratory,provisional_fixed_k,4.4105,48,FALSE,artificial | inteligencia | tic | digital | digitales | uso | tecnologías | herramientas | tecnología | plataformas | tecnológicas | tecnológica | estrés | tareas | capacitación,,"Prólogo | Aprendizaje Hibrido 3.0, transformando la Educación con Inteligencia Artificial y Realidad Virtual | Evaluación estadística con SPSS y Python del impacto integral generado por la asistencia de inteligencia artificial en docentes ecuatorianos | Análisis de plataformas de gestión educativa. Visiones de los agentes educativos | NUMELA: Un modelo predictivo para prevenir el abandono escolar mediante Inteligencia Artificial y Neuromarketing | La Inteligencia Artificial al servicio de la gestión y la implementación en la educación | Aplicación de la gestión educativa con inteligencia artificial en la enseñanza en educación superior y las ciencias sociales | Assist Control | Ventajas y desventajas del uso de las Herramientas de Inteligencia artificial en la educación | Taller de capacitación docente para el uso de recursos didácticos digitales en la plataforma Magic School",,,NA,FALSE
STM-METADATA-ES,metadata,es,10,padres · familia · clima · satisfacción,padres · familia · clima · satisfacción,,pending,exploratory,provisional_fixed_k,5.7355,59,FALSE,padres | familia | clima | satisfacción | convivencia | ambiente | participación | salud | familiar | comunicación | laboral | rendimiento | violencia | mental | interpersonales,,Funcionamiento familiar y bienestar psicológico en la convivencia escolar en estudiantes de secundaria | Desempeño académico y suspensiones temporales: estudio longitudinal en la Facultad de Medicina (2015-2022) | THE EPHEMERAL SUCCESS PARADOX: MANAGEMENT VS. PSEUDOMANAGEMENT IN VENEZUELAN ORGANIZATIONS | EL CICLO ABIERTO DE LA GESTIÓN ESCOLAR INCLUSIVA: DIAGNÓSTICO EN INSTITUCIONES EDUCATIVAS PÚBLICAS URBANAS DE COLOMBIA | Participación de los padres de familia en la gestión escolar. Acción de mejora en el rendimiento académico de sus representados | Protocolo de actuación ante confinamientos: Un estudio de caso en la Gestión Escolar de los Politécnicos Vallejuelo y San Andrés en República Dominicana | participación comunitaria en los centros educativos: desafíos y oportunidades en contexto diverso | Explorando el acompañamiento familiar en educación: Más allá de la participación tradicional | Gestión Educativa para Optimizar el Clima Laboral en la Escuela de Educación Básica Mahatma Gandhi | ¿Cómo incide la gestión educativa en la convivencia armónica?,,,NA,FALSE
STM-METADATA-ES,metadata,es,11,acompañamiento · monitoreo · brechas · metodológicas,acompañamiento · monitoreo · brechas · metodológicas,,pending,exploratory,provisional_fixed_k,6.2071,81,FALSE,acompañamiento | monitoreo | brechas | metodológicas | escasa | aprendizajes | continua | guía | jornada | talleres | physics | matemática | fortalecer | autoevaluación | semiestructurada,,"Factores que favorecen o limitan la aplicación transversal del enfoque ambiental en el marco de la Política Nacional de Educación Ambiental: Estudio de caso: I.E. 88104 María Parado de Bellido en el departamento de Ancash entre los años 2021 y 2023, | Acompañamiento pedagógico para fortalecer el logro de aprendizajes del área de ciencias sociales en estudiantes con necesidades educativas especiales | Comunidad de aprendizaje profesional para optimizar los aprendizajes en el área de ciencia y tecnología en una institución educativa de Áncash | Incorporación de centros de trabajo en NT2, para mejorar el proceso de transición del ciclo inicial a primer nivel básico: un aporte desde la gestión escolar | Gestión y Calidad en Educación Básica Regular (EBR) de Instituciones Educativas del Distrito de Puente Piedra en Lima, Mediante Procesos de Autoevaluación. Una Experiencia de Campo | Monitoreo y acompañamiento pedagógico para mejorar la enseñanza de la lectoescritura en el primer grado de la región Huancavelica | El desarrollo de competencias fundamentales en los estudiantes de secundaria en República Dominicana: retos y perspectivas | Gestión escolar y aprendizajes significativos en estudiantes de cinco años de educación inicial del distrito de Callería-Ucayali, 2021 | Brechas de aprendizaje en Paraguay: un análisis aplicado de determinantes y desigualdades con datos del SNEPE 2018 | Gestión educativa y resultados ENLA en Perú: análisis documental de la evaluación estandarizada y la rendición de cuentas (2015–2024)",,,NA,FALSE
