document_id,language,year,source,text_length,has_abstract,relevance_status,hdbscan_outlier_score,nearest_topic,nearest_topic_similarity,second_nearest_topic,similarity_margin,reason_category,original_topic,suggested_topic,reassignment_method,reassignment_confidence,accepted_reassignment
doi:10.46498/reduipb.v25i1.1462,es,2021,OpenAlex,1128,True,included,0.689947,0,0.909382,4,0.018895,borderline_between_topics,-1,0,nearest_semantic_centroid,0.909382,False
doi:10.15517/revedu.v45i1.40537,es,2021,OpenAlex,2242,True,included,0.525552,4,0.906041,3,0.001407,borderline_between_topics,-1,4,nearest_semantic_centroid,0.906041,False
doi:10.33386/593dp.2024.1-1.2266,es,2024,OpenAlex,1044,True,included,0.321052,1,0.877776,7,0.004643,borderline_between_topics,-1,1,nearest_semantic_centroid,0.877776,False
doi:10.33996/revistahorizontes.v7i30.655,es,2023,OpenAlex,1412,True,included,0.491218,4,0.918405,1,0.006077,borderline_between_topics,-1,4,nearest_semantic_centroid,0.918405,False
doi:10.52080/rvgluz.27.97.5,es,2022,OpenAlex,1316,True,included,0.470689,4,0.9025,3,0.011472,borderline_between_topics,-1,4,nearest_semantic_centroid,0.9025,False
doi:10.37811/cl_rcm.v8i3.11546,es,2024,OpenAlex,1872,True,included,0.456308,1,0.936591,4,0.00626,borderline_between_topics,-1,1,nearest_semantic_centroid,0.936591,False
doi:10.56200/mried.v2iespecial.6465,es,2023,OpenAlex,1222,True,included,0.284238,1,0.935455,7,0.048059,borderline_between_topics,-1,1,nearest_semantic_centroid,0.935455,False
doi:10.47192/rcs.v3i1.81,es,2022,OpenAlex,1169,True,included,0.501745,13,0.831436,0,0.014232,borderline_between_topics,-1,13,nearest_semantic_centroid,0.831436,False
doi:10.18050/eduser.v10n2a2,es,2023,OpenAlex,1131,True,included,0.684936,1,0.906782,4,0.029244,borderline_between_topics,-1,1,nearest_semantic_centroid,0.906782,False
doi:10.55560/arete.2023.18.9.7,es,2023,OpenAlex,1501,True,included,0.504841,3,0.883939,12,0.023742,borderline_between_topics,-1,3,nearest_semantic_centroid,0.883939,False
doi:10.31876/rcs.v28i.38152,es,2022,OpenAlex,1268,True,included,0.506951,4,0.912105,3,0.005061,borderline_between_topics,-1,4,nearest_semantic_centroid,0.912105,False
doi:10.52080/rvgluz.29.e12.40,es,2024,OpenAlex,1281,True,included,0.321637,1,0.925169,7,0.039898,borderline_between_topics,-1,1,nearest_semantic_centroid,0.925169,False
doi:10.59427/rcli/2024/v24cs.1167-1172,es,2024,OpenAlex,966,True,included,0.507757,7,0.790226,3,0.010098,borderline_between_topics,-1,7,nearest_semantic_centroid,0.790226,False
doi:10.37811/cl_rcm.v5i6.1431,es,2022,OpenAlex,1443,True,included,0.680308,7,0.876142,1,0.002299,borderline_between_topics,-1,7,nearest_semantic_centroid,0.876142,False
doi:10.56124/jbs.v3i2.0007,es,2022,OpenAlex,1271,True,included,0.69206,1,0.939473,4,0.010728,borderline_between_topics,-1,1,nearest_semantic_centroid,0.939473,False
doi:10.54942/qantuyachay.v3i1.43,es,2023,OpenAlex,1710,True,included,0.470481,1,0.9004,0,0.003433,borderline_between_topics,-1,1,nearest_semantic_centroid,0.9004,False
doi:10.61598/s.r.c.a.v3i2.47,es,2023,OpenAlex,1224,True,included,0.705244,10,0.926927,3,0.009351,borderline_between_topics,-1,10,nearest_semantic_centroid,0.926927,False
doi:10.37177/unicen/eb31-287,es,2021,CONICET Digital | OpenAlex,918,True,included,0.457218,12,0.906118,3,0.010903,borderline_between_topics,-1,12,nearest_semantic_centroid,0.906118,False
doi:10.60112/erc.v3i1.25,es,2023,OpenAlex,1236,True,included,0.48636,3,0.927765,10,0.013187,borderline_between_topics,-1,3,nearest_semantic_centroid,0.927765,False
doi:10.46932/sfjdv6n10-027,es,2025,OpenAlex,1927,True,included,0.726,7,0.858706,2,0.024047,borderline_between_topics,-1,7,nearest_semantic_centroid,0.858706,False
doi:10.33996/repe.v1i1.16,es,2020,OpenAlex,1008,True,included,0.683296,4,0.881837,3,0.031131,borderline_between_topics,-1,4,nearest_semantic_centroid,0.881837,False
doi:10.61384/r.c.a..v4i3.659,es,2024,OpenAlex,1719,True,included,0.752628,3,0.845298,7,0.037223,borderline_between_topics,-1,3,nearest_semantic_centroid,0.845298,False
doi:10.48169/ecuatesis/0101202005,en,2020,OpenAlex,1896,True,included,0.283555,1,0.895121,4,0.006867,borderline_between_topics,-1,1,nearest_semantic_centroid,0.895121,False
doi:10.47865/igob.vol5.n20.2022.223,es,2022,OpenAlex,1404,True,included,0.48403,4,0.864089,3,0.007817,borderline_between_topics,-1,4,nearest_semantic_centroid,0.864089,False
doi:10.48102/rlee.2020.50.2.61,es,2020,OpenAlex,1427,True,included,0.693319,7,0.880547,3,0.022611,borderline_between_topics,-1,7,nearest_semantic_centroid,0.880547,False
doi:10.30972/riie.13176140,es,2022,OpenAlex,1842,True,included,0.806673,7,0.84035,6,0.006933,borderline_between_topics,-1,7,nearest_semantic_centroid,0.84035,False
doi:10.37811/cl_rcm.v8i3.11175,es,2024,OpenAlex,1191,True,included,0.668165,3,0.842726,7,0.00505,borderline_between_topics,-1,3,nearest_semantic_centroid,0.842726,False
doi:10.5281/zenodo.6785484,es,2022,OpenAlex,1165,True,included,0.5008,7,0.85378,2,0.046093,borderline_between_topics,-1,7,nearest_semantic_centroid,0.85378,False
doi:10.33010/ie_rie_rediech.v14i0.1807,en,2023,OpenAlex,1238,True,included,0.469878,3,0.821129,12,0.006797,borderline_between_topics,-1,3,nearest_semantic_centroid,0.821129,False
doi:10.69733/clad.ryd.n83.a274,en,2022,OpenAlex,2106,True,included,0.665771,12,0.835632,4,0.00493,borderline_between_topics,-1,12,nearest_semantic_centroid,0.835632,False
doi:10.37811/cl_rcm.v7i1.4639,es,2023,OpenAlex,1771,True,included,0.660671,1,0.877886,2,0.025455,borderline_between_topics,-1,1,nearest_semantic_centroid,0.877886,False
