document_id,publication_document_id,model,corpus,topic_id,topic_probability,second_topic_id,second_topic_probability,probability_margin,is_outlier,is_ambiguous,year,language,title,doi,source,corpus_unit,topic_original,topic_after_outlier_reduction,outlier_reassigned,original_topic,outlier_probability,suggested_topic,reassignment_method,reassignment_confidence,silhouette,distance_to_centroid,local_consistency
doi:10.5220/0010922400003364,doi:10.5220/0010922400003364,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.004064052983619825,19,0.003578170138689858,0.0004858828449299667,True,True,2020,en,Social Media as a Strategic Tool in School Management: Experience of Ukraine and USA,10.5220/0010922400003364,OpenAlex,metadata,-1,-1,False,-1,0.9959359470163802,,,,,,0.7
doi:10.55056/cte.684,doi:10.55056/cte.684,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.004068808532243306,19,0.0035809859054217875,0.00048782262682151847,True,True,2024,en,Comparing social media use in school management: experiences from Ukraine and the United States,10.55056/cte.684,OpenAlex,metadata,-1,-1,False,-1,0.9959311914677567,,,,,,0.7
doi:10.31812/educdim.v55i0.3952,doi:10.31812/educdim.v55i0.3952,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.004070693029333593,19,0.003582503490862138,0.0004881895384714549,True,True,2020,en,Using of Social Media in School Management: Experience of Ukraine and United States of America,10.31812/educdim.v55i0.3952,OpenAlex,metadata,-1,-1,False,-1,0.9959293069706664,,,,,,0.7
record:2a6ff4afd7681eecab12bd52,record:2a6ff4afd7681eecab12bd52,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.004070969666653671,19,0.0035833347939944245,0.00048763487265924676,True,True,2021,en,SCHOOL PRINCIPALS' VIEWS REGARDING THE USE OF SOCIAL MEDIA IN SCHOOL MANAGEMENT: A PHENOMENOLOGICAL RESEARCH,,OpenAlex,metadata,-1,-1,False,-1,0.9959290303333463,,,,,,0.7
doi:10.5220/0012744200003693,doi:10.5220/0012744200003693,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.004078545720632147,19,0.0035910486114093727,0.0004874971092227744,True,True,2024,en,Views of Administrators on the Use of Social Media Networks and Tools in School Management Processes,10.5220/0012744200003693,OpenAlex,metadata,-1,-1,False,-1,0.9959214542793678,,,,,,0.7
doi:10.1016/j.dib.2021.107654,doi:10.1016/j.dib.2021.107654,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0041176280001781525,19,0.00361752140540349,0.0005001065947746624,True,True,2021,en,Dataset on factors affecting social media use among school principals for educational leaderships,10.1016/j.dib.2021.107654,OpenAlex,metadata,-1,-1,False,-1,0.9958823719998219,,,,,,0.7
doi:10.1186/s12916-020-01539-4,doi:10.1186/s12916-020-01539-4,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.007445056254716242,38,0.007444302140249408,7.541144668339606e-07,True,True,2020,en,A citizen science study of short physical activity breaks at school: improvements in cognition and wellbeing with self-paced activity,10.1186/s12916-020-01539-4,OpenAlex,metadata,-1,-1,False,-1,0.9925549437452837,,,,,,0.8
doi:10.1108/jpcc-06-2024-0098,doi:10.1108/jpcc-06-2024-0098,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.0075200954081709485,28,0.0071146162309161706,0.00040547917725477795,True,True,2024,en,Educational leadership during a time of war in Ukraine,10.1108/jpcc-06-2024-0098,OpenAlex,metadata,-1,-1,False,-1,0.992479904591829,,,,,,1.0
doi:10.1371/journal.pone.0287505,doi:10.1371/journal.pone.0287505,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.007652798093783203,38,0.0069688662756841255,0.0006839318180990777,True,True,2023,en,"School-based physical education, physical activity and sports provision: A concept mapping framework for evaluation",10.1371/journal.pone.0287505,OpenAlex,metadata,-1,-1,False,-1,0.9923472019062168,,,,,,0.6
doi:10.31392/npu-nc.series5.2021.79.2.40,doi:10.31392/npu-nc.series5.2021.79.2.40,BERTopic-METADATA-MULTILINGUAL,metadata,-1,0.007680470679154257,36,0.007414009722792341,0.00026646095636191636,True,True,2021,und,Formation of a new Ukrainian school: management tasks,10.31392/npu-nc.series5.2021.79.2.40,OpenAlex,metadata,-1,-1,False,-1,0.9923195293208458,,,,,,1.0
