model,corpus,language,topic_id,topic_label,automatic_label,human_label,label_status,validation_status,selection_status,prevalence,document_count,small_topic_warning,top_words,top_ngrams,representative_titles,coherence,diversity,stability,is_outlier
STM-METADATA-EN,metadata,en,1,transformation · democratic · participation · governance,transformation · democratic · participation · governance,,pending,exploratory,provisional_fixed_k,6.9052,57,FALSE,transformation | democratic | participation | governance | participatory | democracy | administration | community | parent | decision-making | autonomy | community-based | public | decisions | stakeholder,,"School governance in Nepal: A perspective of new public management theory | SCHOOL MANAGEMENT MODELS: A COMPARATIVE STUDY BETWEEN TWO SCHOOLS IN JUAZEIRO DO NORTE | A eleição direta de diretor escolar: desafios na gestão democrática no município de Medicilândia – Pará | Community Participation in school Management in Ghana | Does Democratic School Management Bring Innovations into Hyukshin School in Seoul? | A Study on the Effect of Japanese Parents’ Participation in School Management System | Community participation in school management from the viewpoint of relational trust: A case from the Akatsi South District, Ghana | Desafios da gestão nas escolas das águas | School Scandals: Blowing the Whistle on the Corruption of Our Education System | DEMOCRATIC SCHOOL MANAGEMENT: WHAT THE PERCEPTIONS OF TEACHERS FROM THE STATE EDUCATION SYSTEM OF SANTA CATARINA SAY",,,NA,FALSE
STM-METADATA-EN,metadata,en,2,inclusion · inclusive · special · disabilities,inclusion · inclusive · special · disabilities,,pending,exploratory,provisional_fixed_k,5.6706,63,FALSE,inclusion | inclusive | special | disabilities | mineral | escolar | reform | humanities | gestión | compulsory | action | pedagogical | families | institution | visual,,L’institution scolaire et ses agents à l’épreuve du discours managérial | Who is attending training to comply with the expectations of the school management? A study among Romanian in-service teachers | Japanese Education Reform Towards Twenty-First Century Education | Classical Learning Analysis Pondok Modern Darussalam Gontor in Improving Superior School Management | Villar Palasí: Sobre tecnocracia y dirección escolar | La función supervisora como proceso complejo en la gestión escolar | Gestión educativa y práctica docente: reflexiones sobre la dimensión investigativa. | DIRECCIÓN ESCOLAR Y SU FORMACIÓN. | The developing role of occupational therapists in school-based practice: Experiences from collaborative action research in Pakistan | La gestión escolar y los procesos para fomentar la integración escolar: Comunicación breve,,,NA,FALSE
STM-METADATA-EN,metadata,en,3,black · racism · justice · women,black · racism · justice · women,,pending,exploratory,provisional_fixed_k,11.4536,128,FALSE,black | racism | justice | women | equity | race | ethical | book | gender | racial | leaders | muslim | transactional | responsive | privilege,,I’m Every Woman: Advancing the Intersectional Leadership of Black Women School Leaders as Anti-Racist Praxis | Challenges Experienced by Women of Color in Educational Leadership | Decolonizing Educational Leadership: Exploring Alternative Approaches to Leading Schools | Dark educational leadership trajectories: unpacking the invisible and weightless knapsack of manufactured ‘white privilege’ | Kapwa (Shared Identity): Filipino American Perspectives and Responses to Educational Leadership | Black Educational Leadership : From Silencing to Authenticity | For <i>us</i>: towards an intersectional leadership conceptualization by Black women for Black girls | Black Educational Leadership | Leading with/in emotion states: The criticality of political subjects and policy debates in educational leadership on emotions | Why Context Matters in Educational Leadership,,,NA,FALSE
STM-METADATA-EN,metadata,en,4,vocational · entrepreneurship · process · services,vocational · entrepreneurship · process · services,,pending,exploratory,provisional_fixed_k,6.7253,52,FALSE,vocational | entrepreneurship | process | services | planning | nbsp | business | computing | service | implementing | engineering | implementation | component | quality | personnel,,"The development of a large Schools Management According the King’s Philosophy Model | Implementation of School Management Functions in Effort to Improve the Quality of Education | Problematika Layanan Bimbingan dan Konseling di Sekolah | Implementation of Total Quality Management in the Ministry of Religion-Based Education | Implementation of Total Quality Management in School Management: Cross Site Study at SMK Negeri 2 Banjarmasin and SMK Negeri 4 Banjarmasin | Business Process Design for Widuri Indah School Management System with the Support of Cloud Computing | IMPLEMENTATION OF SCHOOL MANAGEMENT INFORMATION SYSTEM IN IMPROVING THE QUALITY OF EDUCATION SERVICES AT KLATEN REGENCY | Development of teaching factory competency-based for vocational secondary education in Central Java, Indonesia | The System Approach for Entrepreneurship-Based School Management in Vocational High Schools | School Management System Assistance with Technology Awareness at SMP Negeri 13 Dumai",,,NA,FALSE
STM-METADATA-EN,metadata,en,5,principals · instructional · style · styles,principals · instructional · style · styles,,pending,exploratory,provisional_fixed_k,6.8307,55,FALSE,principals | instructional | style | styles | principal | leadership | leader | traits | identity | security | personality | amp | shared | behaviors | goal,,Educational leadership : a field test of Hersey and Blanchard's situational leadership theory. | La construcción de liderazgo de directoras escolares: las múltiples identidades desde el género | Educational leadership regarding municipal school support services in Iceland | EDUCATIONAL LEADERSHIP PRACTICES IN SECONDARY SCHOOLS: THE ROLE OF PRINCIPALS IN GOAL ACHIEVEMENT | A female advantage? Gender and educational leadership practices in urban primary schools in Chile | Caring leadership practices in Chilean educational communities: Perceptions of school principals and teachers | A case study on the relationship between narcissistic personality tendency and mobbing behaviors in school management | A Case Study of Educational Leadership Doctoral Students: Developing Culturally Competent School Leadership Through Study Abroad | The reality of school principals’ practice of educational leadership styles in Aqaba Governorate and their relationship to solving school problems from the teachers’ point of view | Giving voice to problems faced by school leaders in Portugal,,,NA,FALSE
STM-METADATA-EN,metadata,en,6,smc · smcs · quality · assurance,smc · smcs · quality · assurance,,pending,exploratory,provisional_fixed_k,4.28,35,FALSE,smc | smcs | quality | assurance | china | philosophy | committee | delegation | high-quality | authority | accountability | access | excellence | strengthen | strategic,,"Pre and post assessment of school management committee: A case study of Sindh | EVALUATION OF SCHOOL MANAGEMENT COMMITTEE (SMC) ON QUALITY OF EDUCATION: A CASE OF SINDH | Personnel Management and School Productivity: Evidence from India | La gestión escolar para el mejoramiento de la calidad educativa en la escuela Emilio Carranza | Personnel Management and School Productivity: Evidence from India | El Plan Educativo Institucional como herramienta de la gestión escolar | Issues, Perceptions, and Challenges of Amalgamation in Higher Education Institutions in Calabarzon: Quality School Management Strategic Plan | Políticas de &lt;i&gt;accountability&lt;/i&gt;: tensiones y dificultades en la gestión escolar, una revisión bibliográfica | Gestión educativa y su relación con el desempeño docente. | Air Quality Assessment of a School in an Industrialized Area of Southern Italy",,,NA,FALSE
STM-METADATA-EN,metadata,en,7,intervention · scale · mental · stress,intervention · scale · mental · stress,,pending,exploratory,provisional_fixed_k,5.3399,52,FALSE,intervention | scale | mental | stress | health | anxiety | validity | food | depression | confirmatory | ratio | factor | prevalence | resilience | test,,"REFLECTION ON ENVIRONMENTAL AWARENESS FOR SCHOOL MANAGEMENT | Why Do School Staff Sometimes Fail to Report Potential Victimization Cases? A Mixed-methods Study | Cyberbullying Victimization and Perpetration in South Korean Youth: Structural Equation Modeling and Latent Means Analysis | Elos Program's Efficacy Evaluation in School Management of Child Behavior: A Non-Randomized Controlled Trial | Association of parental rearing styles with suicidal ideation in Chinese adolescent patients with depression: a large-scale cross-sectional study | Assessment of school resilience in disasters: A cross-sectional study | Children’s safe routes to school: Real and perceived risks, and evidence of an incapacity-incapability space | Sources of stress, coping strategies and associated factors among Vietnamese first-year medical students | The Structural Model of Indicators of Educational Leadership for Primary School Principals | Social-Emotional Educational Leadership: A Study of Scale Adaptation",,,NA,FALSE
STM-METADATA-EN,metadata,en,8,covid · pandemic · coronavirus · crisis,covid · pandemic · coronavirus · crisis,,pending,exploratory,provisional_fixed_k,4.6053,51,FALSE,covid | pandemic | coronavirus | crisis | disease | physical | activity | face--face | virtual | outbreak | online | balance | severe | crises | supervisor,,"Challenges to Research Activities among Academic Clinicians at the International Medical School, Management and Science University, Malaysia | Providing emergency remote teaching: What are teachers’ needs and what could have helped them to deal with the impact of the COVID-19 pandemic? | SCHOOL MANAGEMENT DURING THE COVID-19 PANDEMIC – BETWEEN THE IDEA OF WORK-LIFE BALANCE AND REALITY | Problems Encountered by School Administrators in School Management in the COVID-19 Pandemic and Strategies for Coping with These Problems | School-based physical education, physical activity and sports provision: A concept mapping framework for evaluation | Digital transformation in school management: the legacy that strategic actions in the 2020s leave for future pandemics | Leading schools during a pandemic and beyond: Insights from principals in the Philippines | Three Principles to Support Teacher Effectiveness During COVID-19 | Crisis leadership: Leading schools in a global pandemic | Parent’s Perception on Face-to-Face Learning",,,NA,FALSE
STM-METADATA-EN,metadata,en,9,ict · technology · digital · information,ict · technology · digital · information,,pending,exploratory,provisional_fixed_k,7.099,72,FALSE,ict | technology | digital | information | artificial | technologies | web | communications | wide | internet | era | integration | efficiency | mining | analytics,,School Management Information System (SMIS) for the Elite College | Research on Information Construction and Management of Education Management Based on Data Mining | Web-Based Integrated School Management System for Enhanced Student-Teacher and Resource Accessibility | Opportunities and challenges of school management in the digital era | Dynamic Knowledge Inference Based on Bayesian Network Learning | Design and Implementation of a Multimodal Data Collection and Distribution System Based on Python-Taking School Management System as an Example | IMPROVED M-SCHOOL MANAGEMENT SYSTEM BASED ON IMT-ADVANCED- SATELLITE TECHNOLOGY AND FINGERPRINT RECOGNITION STUDENT ATTENDANCE SYSTEM | School Management System | Intelligent Campus System Design Based on Digital Twin | AI-Driven School Management System: A React-Based Web Application Enhancing Educational Administration and Student Performance Analytics,,,NA,FALSE
STM-METADATA-EN,metadata,en,10,collaborative · fostering · professional · highlights,collaborative · fostering · professional · highlights,,pending,exploratory,provisional_fixed_k,8.0519,78,FALSE,collaborative | fostering | professional | highlights | emotional | collaboration | enhancing | insights | crucial | development | supportive | english | investigates | vision | explores,,"The role of school culture in teacher professional development for peace education: the case of Sukma Bangsa School Pidie in post-conflict Aceh, Indonesia | Importance of Upskilling and Reskilling in Educational Leadership and Management | School management in the professional development of teachers: interactions with a pedagogical university | The Role of Emotional Intelligence in Educational Leadership | Exploring the Role of Emotional Intelligence in Educational Leadership | Enhancing School Management Through School Heads' Conflict Resolution and Team Building Expertise. | I Want to Teach Sustainable Development in My English Classroom: A Case Study of Incorporating Sustainable Development Goals in English Teaching | Teacher leaders’ brokerage practice in China: Impact on teacher learning in a school–university partnership | A shared vision for a school: developing a learning community | Communication Strategies of School Principals for Effective School Management: A Literature Review",,,NA,FALSE
STM-METADATA-EN,metadata,en,11,rural · south · africa · smts,rural · south · africa · smts,,pending,exploratory,provisional_fixed_k,5.3357,46,FALSE,rural | south | africa | smts | municipality | learners | waste | senior | teams | buildings | accounting | african | learner | maintenance | west,,Exploring Perceived Human Resources Factors Influencing the Performance of Grade 12 Accounting Learners in North West Secondary Schools in South Africa | WASTE DISPOSAL MANAGEMENT PRACTICES IN SELECTED SENIOR HIGH SCHOOLS WITHIN THE WA MUNICIPALITY OF GHANA | CONSTRAINTS FACTORS TO MAINTENANCE OF GOVERNMENT SENIOR HIGH SCHOOL BUILDINGS IN WA MUNICIPAL | STAKEHOLDERS RESPONSIBILITIES IN PUBLIC SHS BUILDINGS MAINTENANCE PRACTICES IN THE WA MUNICIPALITY | IMPLICATIONS OF POOR WASTE DISPOSAL MANAGEMENT PRACTICES ON SENIOR HIGH SCHOOLS WITHIN THE WA MUNICIPALITY OF GHANA | Transparency and Accountability of Managing School Financial Resources | EXAMINATION OF THE CURRENT STATE OF GOVERNMENT BUILDINGS IN SENIOR HIGH SCHOOLS IN WA MUNICIPAL | Perceptions of secondary school management teams in managing pregnant learners in an urban context | Establishing and maintaining school-community partnerships: a challenge for school management teams | Challenges Faced by School Management Teams in Managing Rural Schools in Three Selected Schools in South Africa,,,NA,FALSE
